NAME	adipose.stem.cells	B.cells	CD4..T.cells	CD8..T.cells	chondrocytes	endothelial.cells	eosinophils	erythroblasts	fibroblasts	keratinocytes	macrophages	mesenchymal.stromal.cells	monocytes	myeloid.dendritic.cells	neutrophils	NK.cells	osteoblasts	pc.adipocytes	plasmacytoid.dendritic.cells	platelets	sc.adipocytes	smooth.muscle.cells
COL14A1	479.5219802	20.81925444	17.89944497	20.14519942	549.2691014	22.10713444	19.4864362	23.16571139	698.6704304	23.6045983	20.19564437	2199.452001	22.05836068	43.94637118	20.68142364	17.89854468	2382.497675	193.3685079	21.94507949	21.51269232	206.6752821	30.48504917
PDZRN3	1190.761242	20.55674588	16.17544571	15.83194589	1066.248284	29.29062749	17.07525607	30.57544027	2822.542859	73.33047564	18.49544013	1596.32452	17.71279689	22.66477389	18.944135	17.70251922	807.2831418	724.3985577	236.5064364	19.61710677	919.1352244	423.243746
CEMIP	6675.692646	62.2795882	44.29124437	67.7549099	6002.467005	26.63075018	62.93192589	78.34516507	7766.362425	361.4869685	46.24558184	3640.116401	43.71396751	28.73181593	69.44776283	48.81025435	5133.852518	46.11062072	37.71252555	131.8074569	43.05587981	3007.750031
NCAPH	81.25935199	46.40499005	60.71176383	89.47929315	91.31069046	287.3029845	60.47204177	2862.389118	86.64181412	85.95972631	1933.690252	107.3369674	52.45901849	93.73160797	60.10708447	69.75498299	64.26306805	64.60212957	56.55740414	86.87661245	76.09823278	147.6906556
ADGRF5	153.2893478	37.12442141	42.89483422	39.67681634	23.85507787	2226.983062	79.22209558	28.51496503	24.47901481	21.35015185	24.95103292	31.68650711	31.65847863	24.19805722	31.87676005	34.75102663	41.20600857	266.2017215	40.68201227	27.04736628	434.0366871	32.10439444
ACKR3	3059.957037	183.6258853	163.301093	282.3799536	2415.424344	113.8537583	149.9232371	36.68538881	1411.002534	2035.801648	29.78006692	216.6409369	112.8925609	99.51125294	61.2000194	533.0503391	1320.931806	4539.48883	30.88919295	111.4516216	3598.479281	48.93793792
AHNAK2	1157.35364	33.34749738	23.51001627	33.85088155	1514.233952	1031.434859	42.59455117	66.39091003	4927.666984	2262.35593	102.7796651	863.5112621	36.61034665	48.79458922	57.2527502	29.21238901	437.2476494	196.9208602	212.3685831	38.66285821	330.4189226	337.9386563
ANGPTL2	2013.922822	116.0323753	97.08925728	229.8118545	721.1055875	465.5483092	153.511212	151.5103696	5920.458458	85.01048781	97.82909748	1021.095407	108.5864972	99.85120963	182.727425	136.2831487	814.8901961	1297.65404	125.8466577	116.1500026	1923.772278	159.5504252
COL4A5	45.10654449	37.80054398	27.6700968	36.71034975	29.890062	1089.972023	56.26293518	31.01782275	146.2867665	802.7331676	24.14603516	43.83260148	25.64935156	26.49859569	30.67374101	20.77873211	530.8507033	122.7191621	18.88320655	36.52508614	98.69986644	1535.829062
SNAI2	4058.037807	20.96231287	43.67691498	23.07168552	5329.194832	711.5803643	104.1990877	20.68413715	3370.738304	4729.527746	23.13935617	3395.825456	28.57679063	28.13378624	34.55683921	53.10375394	3943.772557	497.4516347	20.93390294	23.03156609	543.9183099	3388.813002
CHN2	95.67709504	31.70415055	71.98249417	102.9854314	20.27181054	26.68004171	22.46897188	110.0438322	18.55120389	41.17931323	430.8249932	21.88909605	652.8736032	1371.839772	37.95983036	564.2001708	27.62533657	107.2366689	100.3389513	85.62308164	97.29375619	23.797441
CLIC2	177.3060389	24.51474215	43.09916833	27.71307267	35.19239232	14.13116392	19.9919245	1213.112805	395.7241919	81.74026837	830.2388261	27.24360189	153.4241026	2121.269464	32.88758748	20.96256991	22.2593056	61.56523084	107.5541249	23.95928599	73.20831152	18.19201329
